idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
10016,CHOCOLATE NESTLE MEIO AMARGO,T,1,1,1,Geral,Geral,Geral
13951,COMPLEMENTO PANAN,T,1,1,1,Geral,Geral,Geral
9976,COMPOTEIRA ZEPELIM GD CRISTAIS VENEZA,T,1,1,1,Geral,Geral,Geral
10026,COMPR.HERM.TCB 4030EME3/4HP R-404 220V ELGIN,T,1,1,1,Geral,Geral,Geral
10030,COMPR.HERM.TCM 2015EMD 1/5HP 110V/60HZ ELGIN,T,1,1,1,Geral,Geral,Geral
10032,COMPR.HERM.TCM 2015EME 1/5HP 220V/60HZ ELGIN,T,1,1,1,Geral,Geral,Geral
19049,COMPRESSOR TCB 2516T ELGIN,F,1,1,1,Geral,Geral,Geral
12138,CONEXAO PLASTICA P/ILHA SERAL,T,1,1,1,Geral,Geral,Geral
8452,CONJ.02 ORNAMENTO PASSARO CERAM.BCO.8766 LA HOME,T,1,1,1,Geral,Geral,Geral
8456,CONJ.02 ORNAMENTO PASSARO CERAM.BCO.8767 LA HOME,T,1,1,1,Geral,Geral,Geral
8460,CONJ.02 ORNAMENTO PASSARO CERAM.BCO.8768 LA HOME,T,1,1,1,Geral,Geral,Geral
6596,CONJ.03 POTES(700/1100/1900ML) 3100 PLAST. SANTANA,T,1,1,1,Geral,Geral,Geral
4040,CONJ.FACAS INOX 10PC ATHUS TRAMONTINA,T,1,1,1,Geral,Geral,Geral
5746,CONJ.LANTERNAS METAL C/2 8661 DELPHI LA HOME,T,1,1,1,Geral,Geral,Geral
4926,CONJ.PANELA ALUM.VERSALHES 7PC TRAMONTINA,T,1,1,1,Geral,Geral,Geral
4928,CONJ.PANELA ALUM.VITORIA 5PC TRAMONTINA,T,1,1,1,Geral,Geral,Geral
11203,CONJ.SENSOR DE NIVEL RESERVAT.TC-6/10 TEDESCO,T,1,1,1,Geral,Geral,Geral
9067,CONSUME BICOLOR KL 10624 KG CAPITAL,T,1,1,1,Geral,Geral,Geral
11971,CONTROL.TEMPERAT. MT-543RI FULL GAUGE,T,1,1,1,Geral,Geral,Geral
52129,CONTROLADOR CORRENTE/FONTE EIP012C350LHL-GELOPAR,T,1,1,1,Geral,Geral,Geral
11486,COROA P/MAQ.PREPARADORA CARNE 6122 TEDESCO,T,1,1,1,Geral,Geral,Geral
12107,"CORTINA 4,30 COMP.X3,20 ALT MT STR",T,1,1,1,Geral,Geral,Geral
61956,"CORTINA P/CAMARA FRIA MED.1,80X0,80 - STR",F,1,1,1,Geral,Geral,Geral
13698,DISCO PRE CORTADOR N114 DI114003 RIC,T,1,1,1,Geral,Geral,Geral
10429,DISCO PRE-CORTADOR B-98S INOX BARTH,T,1,1,1,Geral,Geral,Geral
15664,"DO - BALCAO SECO LANCHONETE MED.2,40 REFRIMATE",T,1,1,1,Geral,Geral,Geral
15514,DO - EIXO CENTRAL BE 30 SIEMSEN,T,1,1,1,Geral,Geral,Geral
15609,DO - ESPALHADOR MAXI BC DUPLA 180MM INTERNO,T,1,1,1,Geral,Geral,Geral
15486,DO - KIT DATADOR R.BAIAO,T,1,1,1,Geral,Geral,Geral
15508,DO - MODULO LANCHONETE ML2400 MARFIM REFRIMATE,T,1,1,1,Geral,Geral,Geral
52843,DOBRADIÇA PLASTICA C/ MOLA PEQUENA 70MM – KLIMA,T,1,1,1,Geral,Geral,Geral
15434,DO-FORMA PAO CASEIRO N2 CIMAPI,T,1,1,1,Geral,Geral,Geral
15450,DO-FORMA PAO DE FORMA FLANDES 30X10X10 IMECA,T,1,1,1,Geral,Geral,Geral
12193,EIXO CENTRAL TA-02 (170771) SIEMSEN,T,1,1,1,Geral,Geral,Geral
12533,ELEM.FILT. AQUABLOCK PR.10 ENCAIXE,T,1,1,1,Geral,Geral,Geral
16949,"ENG HELICOIDAL MEDIA ESQ. Z47 MCR22 24,5MM G.PANIZ",T,1,1,1,Geral,Geral,Geral
16547,ENGREN. NYLON 48D SUPERIOR P/ FH     VENANCIO,T,1,1,1,Geral,Geral,Geral
13609,ENGREN.12D P/CILINDRO MONTE CASTELO,T,1,1,1,Geral,Geral,Geral
11484,ENGREN.NYLON 48D SUPERIOR P/FORNO HOTTOR VENANCIO,T,1,1,1,Geral,Geral,Geral
3932,ESCADA ALUM.,T,1,1,1,Geral,Geral,Geral
3928,ESCADA ALUM. 4 DEGRAUS UTILAR UDM0459 UTILACO,F,1,1,1,Geral,Geral,Geral
3930,ESCADA ALUM. 6 DEGRAUS UTILAR UDM0461 UTILACO,T,1,1,1,Geral,Geral,Geral
11533,ESP.CHAM. EXT DUPLO 200MM PROGAS,T,1,1,1,Geral,Geral,Geral
11218,ESPALHA CHAMA 13CM TEDESCO,T,1,1,1,Geral,Geral,Geral
12502,ESPETO GAUCHO DUPLO ALUM. 75CM,T,1,1,1,Geral,Geral,Geral
12256,ETIQUETA LIGA/DESLIGA/PULSAR (ETERNA) SIEMSEN,T,1,1,1,Geral,Geral,Geral
940,EXAUSTOR IND. RV-30CM BIV LOREN-SID,T,1,1,1,Geral,Geral,Geral
956,EXAUSTOR IND. RV-50CM 220V LOREN-SID,T,1,1,1,Geral,Geral,Geral
1859,EXPOS.VERT.BEBIDAS 1P.VIDRO 400L 220V V.COOLER P.FRIO,T,1,1,1,Geral,Geral,Geral
17486,EXPOSITOR 10 DIVISOES 60X31CM (VIDRO)      V2,T,1,1,1,Geral,Geral,Geral
8571,FORMA CANELADA REFRATARIA 384221225 GERMER,T,1,1,1,Geral,Geral,Geral
15454,FORMA PAO DE FORMA FLANDES 30X10X10 MOD 701 IMECA,T,1,1,1,Geral,Geral,Geral
8599,FORMA REFRAT. MW QUAD.C6 38422818 GERMER,T,1,1,1,Geral,Geral,Geral
8583,FORMA REFRAT.CANELADA 38422250 GERMER,T,1,1,1,Geral,Geral,Geral
8579,FORMA REFRAT.CANELADA C6 50ML 38422050 GERMER,T,1,1,1,Geral,Geral,Geral
8573,FORMA REFRAT.CANELADA RED.38422100 GERMER,T,1,1,1,Geral,Geral,Geral
8575,FORMA REFRAT.MW RED.C06 38422920 GERMER,T,1,1,1,Geral,Geral,Geral
407,FORNO GAS COURACADO C/ RACK DAKO,T,1,1,1,Geral,Geral,Geral
433,FORNO T. 05 EST. PRP- 5000CD STYLE 110V PROGAS,T,1,1,1,Geral,Geral,Geral
439,FORNO T. 08 EST. PRP- 8000CD STYLE 220V PROGAS,T,1,1,1,Geral,Geral,Geral
441,FORNO T. 10 EST. PRP-10000CD STYLE 220V PROGAS,T,1,1,1,Geral,Geral,Geral
49301,FRENTE SUP. PRP-482 G4 - PROGAS,T,1,1,1,Geral,Geral,Geral
3948,FRUTEIRA EXTRA FORTE RET. UDM0414 UTILACO,T,1,1,1,Geral,Geral,Geral
8908,FRUTEIRA PISA GIGANTE 30CM 5300 RUVOLO,T,1,1,1,Geral,Geral,Geral
8912,FRUTEIRA RENO C/PE 30CM 5483 RUVOLO,T,1,1,1,Geral,Geral,Geral
3950,FRUTEIRA TB RET. DESM C/TP GRAN. UDM0423 UTILA,T,1,1,1,Geral,Geral,Geral
13559,GANCHO MOVEL ENCAIXE SIMPLES GMS-30 CRP,T,1,1,1,Geral,Geral,Geral
12149,GAS GENETRON AZ-20 MIOTI,T,1,1,1,Geral,Geral,Geral
47322,GONDOLA DE CENTRO INIC. 140X40X30 - SA GONDOLAS,T,1,1,1,Geral,Geral,Geral
47324,GONDULA DE CENTRO CONT. 140X40X30 -SA GONDOLAS,T,1,1,1,Geral,Geral,Geral
49709,GRADE P/ PIC-300 POLAR,F,1,1,1,Geral,Geral,Geral
12504,GRELHA GAUCHO P/PEIXE G 25X50CM,T,1,1,1,Geral,Geral,Geral
12105,HELICE 22 POL 20 GRAUS 7173156D HEATCRAFT,T,1,1,1,Geral,Geral,Geral
26339,IMPRESSORA DE ETIQUETA GC420T ZEBRA,F,1,1,1,Geral,Geral,Geral
9344,JARRA FRANC.1500ML C/TP COLOR 5760-00 DISMARINA,T,1,1,1,Geral,Geral,Geral
9350,JARRA FRESH 1500ML 513.547-03 DISMARINA,T,1,1,1,Geral,Geral,Geral
6508,JG. CAFE 06PC C/CABO METAL 1199 ROJEMAC,T,1,1,1,Geral,Geral,Geral
15264,JG. CAFE 06PC C/CABO METAL 1199 ROJEMAC,T,1,1,1,Geral,Geral,Geral
9069,JG. CAFE FASHION I KL10643 KG CAPITAL,T,1,1,1,Geral,Geral,Geral
9071,JG. CAFE HOME IX KL10635 KG CAPITAL,T,1,1,1,Geral,Geral,Geral
9073,JG. CAFE HOME X KL10636 KG CAPITAL,T,1,1,1,Geral,Geral,Geral
9075,JG. CHA HOME IX KL10642 KG CAPITAL,T,1,1,1,Geral,Geral,Geral
9083,JG. CHA HOME VIII KL10641 KG CAPITAL,T,1,1,1,Geral,Geral,Geral
5101,JG. TALHERES INOX LAGUNA 66906/247 240PC TRAMONTINA,T,1,1,1,Geral,Geral,Geral
16549,LATEX FUTURA BRANCO GELO 18LTS,T,1,1,1,Geral,Geral,Geral
2912,LEGUMEIRA C/FORMA PUDIM AA  ALUM.BRILHANTE,T,1,1,1,Geral,Geral,Geral
2910,LEGUMEIRA C/FORMA PUDIM ALUM.BRILHANTE,T,1,1,1,Geral,Geral,Geral
8601,LEITEIRA PINTURA CUP 2644100 GERMER,T,1,1,1,Geral,Geral,Geral
16523,LIMPA FORNO DIABO VERDE 34022,T,1,1,1,Geral,Geral,Geral
1022,LIQUID.IND LTB-04 1/2 CV BECKER,T,1,1,1,Geral,Geral,Geral
12109,LUVA DE COBRE REDUTORA 1.3/8X7/8 C3335 FRIGELAR,T,1,1,1,Geral,Geral,Geral
10701,MACHO P/PICADOR LEGUMES PEQUENO CEMAF,T,1,1,1,Geral,Geral,Geral
10691,MACHO P/PICADOR M/G 8MM FAK,T,1,1,1,Geral,Geral,Geral
12511,MANCAL COMPLETO LAR-02,T,1,1,1,Geral,Geral,Geral
12513,MANCAL COMPLETO LAR-04,T,1,1,1,Geral,Geral,Geral
12515,MANCAL COMPLETO LS-04/06/08/10 LITROS,T,1,1,1,Geral,Geral,Geral
11430,MANIPULO SIEMSEN,T,1,1,1,Geral,Geral,Geral
8605,MANTEIGUEIRA INDIVIDUAL 55847064 GERMER,T,1,1,1,Geral,Geral,Geral
53242,"MAQ.SERRA FITA MESA MOV. BANCADA MAL.1,81C/MOEDOR B08-HIDRO",T,1,1,1,Geral,Geral,Geral
48062,MESA BUFFET 05 CUBAS QUENTE E 03 CUBAS FRIAS C/ COBERT.-PANA,T,1,1,1,Geral,Geral,Geral
44299,"MESA BUFFET ESP. INOX QUENTE/FRIO MED:3,40X0,63X0,92M -PANAN",T,1,1,1,Geral,Geral,Geral
48060,MESA BUFFET REFRIG. MED:1.80X66X90 C/04 CUBAS- PANAN,T,1,1,1,Geral,Geral,Geral
46580,MESA INOX 1.1/2 C/ESTRADO 300X70X90CM C/02 CUBAS - PANAN,T,1,1,1,Geral,Geral,Geral
61592,"MESA INOX MED:2,50X70 C/ ESPELHO - PANAN",T,1,1,1,Geral,Geral,Geral
55862,MESA PARA PISTA VIDRO QUENTE MED.220X95X130-PANAN,T,1,1,1,Geral,Geral,Geral
57170,MESA TUBO INOX 20-439 150X70X90 C/01 CUBA 60X50X40-PANAN,T,1,1,1,Geral,Geral,Geral
56321,MESA TUBO INOX 20-439 150X70X90 C/01 CUBA MED:60X50X40-PANAN,T,1,1,1,Geral,Geral,Geral
26530,MEXEDOR DE CAFÉ,T,1,1,1,Geral,Geral,Geral
48887,MINI CAMARA CONGELADOS MC2PCG - REFRIMATE,T,1,1,1,Geral,Geral,Geral
28394,MODULO,T,1,1,1,Geral,Geral,Geral
2064,MOEDOR CARNE/CAFE MBI-10 1/2 CV NR12 BECKER,T,1,1,1,Geral,Geral,Geral
11127,MOLA ACO P/SELADORA 40/60CM 188 R.BAIAO,T,1,1,1,Geral,Geral,Geral
5645,MOLHEIRA INOX C/CONCHA 450ML CARIBE 8699 ROJEMAC,T,1,1,1,Geral,Geral,Geral
15844,MT - ASSAD.ALUM.PAO FRANCES/DOCE 58/70 CIMAPI,T,1,1,1,Geral,Geral,Geral
16250,MT - BOCAL REFROLAVAGEM MEMO,T,1,1,1,Geral,Geral,Geral
16252,MT - BOLACHA ACRILICA LOGO MEMO,T,1,1,1,Geral,Geral,Geral
16254,"MT - CILINDRO CO2 ALUMINIO 6,8KG MEMO",T,1,1,1,Geral,Geral,Geral
15011,MT - DIVISORIA P / CESTO 50 CM,T,1,1,1,Geral,Geral,Geral
15244,MT - FACA P / CHURRASCO MILLENIUN LARANJA DI SSOLE,T,1,1,1,Geral,Geral,Geral
15280,MT - FORMA P / FABRICADOR DE GELO,T,1,1,1,Geral,Geral,Geral
17035,"MT - LASANHEIRA RETA FUNDA 40,4X24,9X7CM 5,3L DISMARINA",T,1,1,1,Geral,Geral,Geral
